"COUNTRY_OR_AREA","COMMODITY_TRANSACTION","YEAR","UNIT","QUANTITY_FOOTNOTES","QUANTITY"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","2.96000003814697"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","2.99000000953674"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","142"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","141"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","137"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","154"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","131"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","111"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","88"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","86"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","73"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","77"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","71"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","58"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","44"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","42"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","46"
"Angola","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","46"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","5.5"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","5.30000019073486"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1","5.40000009536743"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1","5"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1","4.69999980926514"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","1","4.5"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1","4"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1","3.59999990463257"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1","4.19999980926514"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","3.70000004768372"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","3.90000009536743"
"Anguilla","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1","4.40000009536743"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","3.29999995231628"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","3.20000004768372"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1","3"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1","3.29999995231628"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1","3.09999990463257"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","1","3"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1","3"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","1","2"
