"Country_or_Area","Commodity_Transaction","Year","Unit","Quantity","Quantity_Footnotes"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","10.43",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","12.49",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","12.32",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","12.38",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","12.319",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","12.083",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","11.63",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","11.313",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","10.9782",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","8.7911",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","8.7313",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","5",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","6",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","8",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","8",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","8",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","9",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","9",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","9",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","10",
